State,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984
Ohio,49644,46398,44375,44648,45886,45879,46934,49099,45900,44203,43055,43520,42684,41785,42962,39489,38925,36134,34070,34941,31855,31285,31404,29790,30013,29021,27740,25773,25115,25174,23123
Oklahoma,47199,43777,48407,48455,43103,45878,46111,43216,38838,37645,39614,35902,36458,35609,32432,32683,33727,31351,27437,26311,26991,26260,25284,25462,24384,23667,23667,21691,20948,21205,21148
Oregon,58875,56307,51775,51526,50602,49098,51727,50236,47091,44159,40994,41638,41802,41273,42499,40619,39067,37247,35492,36374,31456,33138,31927,30190,29281,28529,27748,25038,24773,21894,21399
Pennsylvania,55173,53952,51904,49910,48314,48172,51402,48437,48477,46300,44106,42933,42498,43499,42176,37758,39015,37517,34899,34524,32066,30995,29882,30367,29005,28690,26742,25424,23807,22877,20346
Rhode Island,58633,57812,56065,49033,51623,51634,53241,54210,53736,49484,47935,44711,42417,45723,42197,42719,40686,34797,36986,35359,31928,33509,30432,30836,31968,30124,29842,28292,26540,24625,21612
South Carolina,44929,43749,44401,40084,41698,41101,42155,44213,39617,40230,38691,38479,37812,37736,37570,36462,33267,34262,34665,29071,29846,26053,27578,27463,28735,23798,25533,25049,21968,20036,20309
South Dakota,53053,54453,49415,47223,45352,45826,51600,46418,45427,43151,41107,39522,37873,39671,36475,35828,32786,29694,29526,29578,29733,27737,26259,24639,24571,24108,22294,21151,19898,18142,19409
Tennessee,43716,42499,42995,42279,38591,40517,39702,41195,40693,39406,38072,37523,37030,35783,34096,36522,34091,30636,30790,29015,28639,25102,24318,24453,22592,22611,20856,21179,18256,17778,16782
Texas,53875,53027,51926,49047,47266,47475,46490,46053,43307,41422,41397,39271,40149,40860,38609,38688,35783,35075,33072,32039,30755,28727,27953,27733,28228,25886,24963,24721,24162,23743,23024
Utah,63383,62967,58341,55493,56701,58491,62537,53529,54628,54813,50871,49275,47861,47342,47550,46050,44299,42775,37038,36480,35716,35786,34251,28016,30142,30717,26313,26529,26281,25238,23057
Vermont,60708,54842,55582,51862,55928,52318,50706,47390,51981,50704,47329,43261,42999,40794,39594,41584,39372,35053,32358,33824,35802,31065,32755,29155,31098,31295,28988,25415,24599,26000,22578
Virginia,66155,67620,64632,62616,60367,60501,61985,59161,57119,51914,51141,54783,49631,50241,47163,45693,43354,42957,39211,36222,37647,36433,38198,36137,35073,34118,32648,29996,29715,28429,26525
Washington,59068,60106,62187,56850,56163,60392,56631,58080,54723,50646,49922,47508,45183,42490,42525,45473,47421,44562,36676,35568,33533,35655,33900,33970,32112,31961,32327,27319,26881,24000,25017
West Virginia,39552,40241,43553,41821,42777,40490,37994,42091,38419,36445,33373,32763,29359,29673,29411,29297,26704,27488,25247,24880,23564,22421,20271,23147,22137,21677,19353,17207,16464,15983,16843
Wisconsin,58080,55258,53079,52058,50351,51237,51200,51277,51692,44650,45732,46269,45903,45346,45088,45667,41327,39595,40001,40955,35388,31766,33308,31133,30711,29123,29575,26369,26430,23246,20743
Wyoming,55690,55700,57512,54509,52201,52470,53337,48744,47041,44718,45397,42555,39763,39719,39629,37248,35250,33423,30953,31529,33140,29442,30209,29050,29460,29521,26419,27590,23559,22081,23816
