State,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Louisiana, 1226.2, 1323.9, 1460.8, 1444.5, 1444.4, 1464.7, 1437.9, 1411.5, 1366.3, 1368.3, 1279.0, 1231.7, 1295.8, 1239.3, 1172.1, 1092.7, 1035.8, 1039.1, 1013.1, 991.9, 1006.5, 873.7, 1089.2, 1093.2, 1032.1, 1044.7, 999.6, 1010.8, 913.4, 890.3, 824.5
Maine, 888.1, 911.3, 803.5, 770.7, 816.9, 802.8, 823.0, 902.5, 822.3, 719.0, 720.8, 726.4, 748.4, 663.5, 666.8, 601.1, 531.4, 537.0, 537.9, 502.5, 482.2, 479.7, 518.0, 512.1, 498.2, 510.4, 554.8, 592.0, 562.7, 487.7, 378.2
Maryland, 1183.8, 1206.6, 1245.6, 1162.5, 1178.6, 1123.5, 1119.9, 1157.6, 1131.2, 1132.8, 1043.4, 1057.5, 992.3, 940.7, 922.9, 835.9, 744.4, 771.5, 729.6, 701.0, 660.0, 642.7, 667.0, 660.2, 689.6, 647.5, 634.4, 613.5, 574.4, 538.0, 468.7
Massachusetts, 1099.6, 1120.4, 1070.9, 1059.9, 1061.3, 1065.5, 1112.7, 1167.1, 1072.3, 1001.7, 881.0, 817.7, 704.1, 661.8, 607.3, 533.8, 482.0, 506.6, 517.7, 544.6, 538.4, 539.8, 547.5, 554.5, 557.9, 523.5, 578.2, 551.0, 521.2, 457.8, 370.1
Michigan, 1644.2, 1527.2, 1509.5, 1452.2, 1314.6, 1224.8, 1143.3, 1186.2, 1041.2, 982.7, 967.2, 909.7, 895.4, 825.9, 837.8, 778.0, 702.2, 719.9, 706.6, 677.6, 635.7, 698.2, 755.9, 747.4, 747.6, 762.8, 752.7, 706.3, 663.4, 568.3, 445.9
Minnesota, 990.9, 1017.5, 1004.2, 1068.9, 909.6, 896.9, 907.2, 853.6, 889.7, 844.5, 791.7, 797.3, 762.5, 752.6, 687.5, 580.2, 530.9, 511.5, 557.9, 546.9, 550.3, 579.6, 586.5, 571.7, 508.7, 485.7, 459.7, 480.3, 471.7, 418.9, 380.7
Mississippi, 980.1, 1021.9, 1075.9, 1201.4, 1281.0, 1145.3, 1251.2, 1331.9, 1282.8, 1285.8, 1292.4, 1131.1, 1132.4, 1187.4, 1144.5, 1051.4, 946.3, 1042.8, 1032.3, 1025.6, 953.6, 923.7, 931.7, 932.7, 868.0, 1001.3, 1025.3, 1031.8, 940.4, 834.5, 813.3
Missouri, 1115.5, 1098.7, 1136.1, 1111.3, 1140.4, 1135.8, 1065.8, 1253.3, 1100.1, 1025.5, 1053.0, 932.6, 894.2, 868.2, 872.5, 776.8, 745.0, 762.4, 753.5, 734.3, 702.7, 738.6, 765.6, 763.8, 774.1, 728.0, 737.1, 746.8, 705.6, 641.8, 581.5
Montana, 858.0, 827.5, 792.6, 806.1, 703.6, 691.7, 709.1, 523.6, 643.9, 714.2, 721.7, 581.6, 558.4, 569.1, 519.9, 439.1, 437.4, 405.4, 361.3, 405.4, 379.2, 389.6, 357.8, 362.9, 381.3, 378.1, 372.6, 335.5, 389.9, 406.2, 351.2
Nebraska, 643.8, 730.4, 748.2, 847.9, 765.2, 745.5, 723.8, 726.6, 714.6, 663.5, 675.5, 631.9, 614.5, 592.2, 634.0, 609.7, 592.0, 567.4, 597.9, 583.2, 562.2, 535.1, 539.2, 509.1, 489.6, 485.7, 454.5, 473.6, 471.3, 478.6, 422.5
Nevada, 1978.4, 1849.6, 1603.9, 1629.4, 1544.9, 1404.8, 1367.4, 1403.9, 1289.2, 1245.0, 1354.5, 1322.5, 1220.1, 1310.4, 1137.6, 973.5, 877.1, 844.3, 874.3, 979.3, 992.0, 973.4, 997.9, 971.0, 932.8, 836.7, 824.1, 747.9, 803.1, 825.6, 772.3
New Hampshire, 735.9, 762.3, 755.0, 694.8, 682.7, 736.9, 735.5, 735.4, 621.9, 515.1, 463.9, 418.6, 435.7, 393.2, 325.1, 307.9, 404.0, 388.2, 379.6, 356.1, 383.2, 320.8, 334.2, 385.6, 324.2, 371.1, 413.4, 473.8, 453.1, 376.5, 313.7
New Jersey, 1062.8, 1056.9, 1070.8, 1008.8, 980.2, 976.6, 1017.2, 1015.7, 969.4, 974.0, 911.9, 875.2, 791.9, 756.2, 671.1, 577.1, 522.0, 550.0, 511.9, 502.8, 472.4, 447.9, 451.4, 428.7, 465.3, 424.3, 440.2, 489.4, 477.4, 402.7, 354.8
New Mexico, 1639.7, 1753.9, 1844.7, 1787.7, 1836.9, 1711.1, 1738.7, 1723.0, 1511.4, 1421.2, 1326.8, 1447.1, 1376.9, 1452.4, 1394.0, 1234.7, 1173.1, 1067.9, 1060.1, 1011.3, 1047.0, 1087.2, 1069.6, 1057.1, 1043.5, 1092.5, 1017.6, 1030.4, 1026.3, 1046.0, 887.3
New York, 1257.2, 1235.1, 1221.1, 1216.4, 1218.3, 1176.2, 1160.7, 1132.5, 1068.2, 998.6, 906.2, 808.1, 713.9, 652.3, 576.7, 512.3, 463.4, 421.3, 400.9, 392.7, 366.7, 352.2, 355.4, 336.4, 336.3, 321.2, 339.5, 334.5, 328.9, 286.6, 257.2
North Carolina, 1131.3, 1150.8, 1225.0, 1356.1, 1391.2, 1503.5, 1530.4, 1692.3, 1653.0, 1515.8, 1472.7, 1417.6, 1345.6, 1346.8, 1324.6, 1286.9, 1216.1, 1241.6, 1198.4, 1195.6, 1184.9, 1202.6, 1211.9, 1199.6, 1209.6, 1149.5, 1075.6, 1093.5, 1018.9, 915.7, 798.2
North Dakota, 399.1, 427.0, 385.1, 455.4, 437.7, 358.9, 426.6, 372.8, 391.0, 373.2, 324.5, 350.7, 309.2, 358.8, 356.4, 368.8, 325.9, 340.1, 353.8, 309.3, 320.6, 321.9, 409.0, 361.7, 364.2, 375.1, 296.5, 359.0, 346.3, 411.5, 366.1
Ohio, 1049.9, 976.5, 987.8, 1062.5, 1031.4, 1018.2, 982.5, 1055.2, 947.3, 878.1, 866.3, 838.8, 835.4, 844.6, 810.1, 773.1, 780.7, 850.9, 869.2, 831.3, 842.9, 873.4, 920.4, 863.8, 891.8, 901.1, 928.5, 978.3, 911.6, 787.2, 680.0
Oklahoma, 1454.8, 1612.1, 1786.8, 1782.8, 1643.4, 1563.6, 1447.5, 1478.2, 1359.8, 1235.0, 1251.2, 1271.9, 1255.6, 1206.4, 1143.4, 1026.5, 917.5, 996.5, 1007.9, 993.8, 1000.2, 1007.3, 962.1, 950.1, 967.7, 1032.6, 1006.5, 963.5, 945.9, 869.7, 760.9
Oregon, 1823.3, 1886.5, 1966.7, 1782.7, 1764.1, 1425.4, 1135.4, 1176.0, 1106.7, 1024.8, 1100.8, 1102.8, 988.3, 1033.2, 927.5, 806.6, 748.8, 767.2, 729.9, 801.3, 837.3, 759.1, 657.3, 613.2, 557.1, 516.0, 522.0, 535.2, 565.4, 529.7, 434.0
Pennsylvania, 743.8, 737.5, 734.8, 722.0, 696.7, 713.7, 729.1, 719.6, 631.5, 582.0, 551.5, 561.8, 591.9, 567.5, 531.4, 467.2, 440.4, 441.7, 451.1, 435.9, 439.3, 452.5, 464.1, 451.2, 471.4, 434.5, 434.1, 454.9, 446.9, 406.8, 357.5
Rhode Island, 1184.6, 1232.3, 1293.9, 1441.0, 1261.3, 1206.9, 1271.1, 1127.5, 1047.7, 1040.9, 912.8, 932.7, 821.7, 717.6, 653.0, 640.0, 631.5, 644.0, 600.5, 513.3, 506.1, 495.4, 510.8, 492.1, 548.7, 546.2, 581.8, 650.6, 564.5, 533.6, 457.1
South Carolina, 1231.7, 1253.5, 1340.3, 1358.0, 1416.2, 1392.8, 1380.4, 1454.9, 1378.5, 1309.2, 1274.0, 1254.6, 1283.8, 1232.0, 1162.7, 1019.9, 969.3, 1049.0, 1066.0, 1060.4, 1041.9, 1006.4, 994.0, 1030.0, 1026.0, 996.3, 997.6, 1013.2, 957.4, 857.7, 759.9
South Dakota, 499.9, 546.2, 553.5, 534.1, 517.9, 474.7, 527.4, 589.8, 541.4, 549.2, 546.2, 540.7, 557.0, 553.9, 468.6, 444.0, 383.7, 407.1, 399.0, 376.3, 408.5, 323.3, 386.7, 332.4, 333.6, 322.6, 390.9, 355.4, 393.3, 400.1, 330.3
Tennessee, 1123.6, 1166.8, 1325.2, 1351.8, 1237.9, 1206.9, 1264.0, 1365.0, 1267.2, 1182.6, 1141.6, 1143.2, 1163.5, 1171.7, 1075.9, 936.7, 990.4, 1038.5, 1057.9, 1083.3, 1024.7, 1032.8, 1043.7, 1004.1, 1047.4, 1013.8, 1011.3, 981.8, 871.1, 790.1, 712.2
Texas, 1664.1, 1770.5, 2048.6, 2118.0, 2157.2, 2014.9, 1851.5, 1802.4, 1523.2, 1297.3, 1168.2, 1082.3, 1068.5, 1034.3, 986.3, 949.7, 906.3, 956.3, 978.1, 994.8, 979.5, 958.8, 917.6, 955.1, 945.6, 968.7, 905.2, 841.7, 786.6, 720.8, 627.8
Utah, 858.1, 942.9, 914.9, 950.9, 881.0, 897.0, 880.6, 840.2, 885.0, 790.8, 790.8, 800.8, 848.3, 890.5, 694.9, 685.1, 642.5, 605.8, 652.2, 721.1, 628.9, 601.2, 577.3, 589.5, 539.6, 547.9, 543.9, 468.0, 458.7, 472.9, 391.4
Vermont, 1016.4, 973.8, 949.2, 1110.4, 1096.8, 1029.1, 1087.3, 1020.1, 825.6, 874.3, 736.9, 760.9, 673.0, 613.1, 671.1, 595.7, 575.0, 513.9, 566.0, 487.1, 552.9, 511.7, 551.8, 515.1, 565.8, 558.3, 534.9, 612.5, 667.6, 534.7, 324.6
Virginia, 841.7, 785.1, 812.5, 806.9, 818.4, 756.9, 731.1, 783.1, 709.1, 667.7, 638.8, 595.2, 588.1, 571.4, 560.9, 471.6, 429.9, 439.1, 435.8, 395.2, 384.4, 394.3, 420.9, 415.3, 414.3, 405.4, 383.9, 378.3, 362.2, 323.0, 277.7
Washington, 1702.0, 1811.3, 1861.5, 1904.5, 1855.6, 1545.1, 1262.9, 1235.5, 1121.7, 1067.2, 1044.2, 1091.2, 1057.5, 1106.3, 1062.5, 949.4, 907.3, 884.7, 905.7, 950.4, 976.8, 959.1, 920.0, 817.4, 811.3, 796.0, 818.5, 828.9, 890.1, 838.7, 783.0
West Virginia, 648.0, 618.4, 625.3, 603.6, 610.9, 626.5, 657.1, 666.8, 622.9, 599.1, 585.8, 565.0, 546.5, 586.3, 613.5, 570.2, 546.9, 533.1, 536.2, 579.5, 606.5, 624.8, 636.7, 597.2, 597.4, 659.7, 581.2, 552.3, 617.6, 534.5, 484.9
Wisconsin, 834.1, 795.5, 782.9, 842.6, 729.2, 733.2, 751.4, 751.6, 691.9, 663.0, 645.9, 613.2, 588.3, 570.7, 569.3, 488.2, 469.5, 498.1, 513.4, 484.9, 433.4, 442.3, 486.6, 497.9, 487.9, 474.2, 468.0, 475.8, 487.9, 424.1, 368.5
Wyoming, 641.7, 690.6, 817.4, 717.6, 658.8, 631.8, 631.0, 692.2, 671.0, 643.2, 650.6, 612.1, 662.0, 624.6, 560.5, 489.8, 420.8, 502.5, 490.7, 520.0, 541.2, 476.8, 450.9, 452.3, 412.6, 399.8, 381.0, 328.5, 368.5, 335.4, 289.1
